"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0x50c6c3fc405c637a1d923a5cf7d8d1ab9d34923310e313ed6f8bdeaedc06667f","9396235","1580556060","2/1/2020 11:21:00 AM","0x01a3e509b3543ba29a8d6eef9583399911f303d2","0x44eac9e0bc5d71d861bb8d736f0c49f453b3127c","909"
"0x99e0db62d81dea40b29ede0984b41197be0a44438fb929bbc67a1ad8bf3bd141","9396776","1580563766","2/1/2020 1:29:26 PM","0x79adb3f4826d55f475eb08cd8582ab3b086155f4","0xbe835553cb3e4877d699f365cda8a0bb31960d34","542.558936526141"
"0x6f1131399a87192866545156b32bde1cc09acb68b8f6881d8c77cbe02cd2f73d","9396910","1580565521","2/1/2020 1:58:41 PM","0xbe835553cb3e4877d699f365cda8a0bb31960d34","0x1b6c1a0e20af81b922cb454c3e52408496ee7201","542.558936526141"
"0x308700b9e039b2ad9818c3bd0202ba556ebec72eded458fd388fb54704fe24f4","9397583","1580574156","2/1/2020 4:22:36 PM","0xff0dff2603a350f606d7811c01402f392b1a2366","0x0a12cc313f2dba58601e7323108556b8eef781ee","500.96"
"0xcdcbdde93e7d58e520b3b4f357564988810012be04eb6c45cfd289e06302fd19","9397866","1580578096","2/1/2020 5:28:16 PM","0x0a12cc313f2dba58601e7323108556b8eef781ee","0x1b6c1a0e20af81b922cb454c3e52408496ee7201","500.96"
"0x649a53c368836726c1386fb4ce884df53c8f75b14869ffc4a7592d46043c76fa","9401902","1580631202","2/2/2020 8:13:22 AM","0x84cde52e1755538d127a8e9dd21c64144a7e53b4","0x578cf3a70a5d553eecde70915d3858dc3db2001d","509.52"
"0x2d019abbe57076114fcbb6302fce5f5c05f75b9f92a25a133f10128e7adbfa92","9403271","1580649144","2/2/2020 1:12:24 PM","0xe6a42e9edf121a89ebb94d1bbd6ff550719b1066","0x64bf13d77e3bbbdc44ea307ffee9b84a3b9898ce","34.599999966"
"0xb1d0822278bb7ebf85aaf4089deda950d7b14acb502f423031db60ab8d8c45c0","9403448","1580651327","2/2/2020 1:48:47 PM","0x633cbf6347ddddb5fec65ad803b4e0b282addbd7","0x37d0cce81d62a130a1fbead1e126e1758cde2da4","75000"
"0x8573cae395981c6620e766a370646ef08ecd3cfe4da77d04780aacfaa492d55b","9404662","1580667344","2/2/2020 6:15:44 PM","0xf29957533d4d9410c57d37ab2d7aadc3d38d327a","0x6423baa98426636bd459f9e84473a17d3ba04088","0.001"
"0x23057533f7bda743f2a3b26d4fd10f10eff8884e13b310fe3b9b66f89f8dd214","9405535","1580678901","2/2/2020 9:28:21 PM","0x2ba918342c08dce8a4bd9c3d83d9fb7e7c51e85b","0xda8be735d2d6d8fa0731e3c76c6cc792884cd7be","3000"
"0xa1f4b1def1e99bd32367d36515e2bfaf568037175b4399db3848aced00e9d237","9405626","1580680290","2/2/2020 9:51:30 PM","0xda8be735d2d6d8fa0731e3c76c6cc792884cd7be","0x1b6c1a0e20af81b922cb454c3e52408496ee7201","3000"
"0x893ef1a01acca3168818d001bad3f3183dc58d2c6afda16e000ff937de9a15fc","9418191","1580846855","2/4/2020 8:07:35 PM","0x006f11323d586ae28609e72d28f1d7f06ddead9e","0xf9ea92c8bf06ef455b1e23106b5f50cd61aae53b","413.53"
"0x8e892e3c51d90e773361c8cc8effdcb8e8fe01e501b3ed9ec13508e0bdd6825f","9418262","1580847722","2/4/2020 8:22:02 PM","0xf9ea92c8bf06ef455b1e23106b5f50cd61aae53b","0x1b6c1a0e20af81b922cb454c3e52408496ee7201","413.53"
"0xe9bc6568e41ed952383663abc37ce42741d097508c9d37b493558e4984db77a1","9420643","1580879323","2/5/2020 5:08:43 AM","0xdcf730c9a86b57656c0f5468f27aaf2af2a65e84","0x4a6ae8fd2734260ad4f401b0bd8a6cfe89b0dec4","2961.53"
"0xebf8c37f7e85d3c16bb746deb028afa609d10b22d63db2aac3ef3586ed85b22c","9420821","1580881598","2/5/2020 5:46:38 AM","0x6cc5f688a315f3dc28a7781717a9a798a59fda7b","0xabf6c95e63d126fcacfa770cf77e653191006298","16373.074"
